T95018,T61609,T71025,X55715,T52185,T57633,R78934,T51529,M26697,T51023,D63874,T57630,M36981,M76378,M63391,M76378.2,T79152,H64489,X15183,X14958,Z50753,D31885,U30825,T60155,H40560,R87126,M22382,R42501,T51571,X12671,X70944,M76378.3,H40095,X70326,Z49269,T92451,Z49269.2,R75843,U29092,H43887,H11719,T86473,X12466,R08183,R36977,M80815,U09564,L08069,R84411,T96873,X74295,T40454,X12496,T47377,T62947,L05144,U26312,H77597,R64115,J02854,L41559,L25941,X86693,X74262,X63629,X13482,T83368,M36634,R52081,T86749,H87135,M26383,D42047,T67077,D00596,X53586,X54942,H20819,U17899,J05032,H08393,H06524,U32519,H55916,U25138,U19969,X56597,M91463,X62048,D29808,T60778,M64110,Tissue Type
-0.4765312,-1.2189402,-1.2737992,0.61558434,0.36602443,0.56123432,-1.1352742,-0.7854054,0.66593269,-0.3528052,-0.0268752,-0.2027928,0.2225087,-0.9656433,-1.4548494,-1.1400339,0.65375072,-0.4555919,0.51234246,-0.0999419,0.19660284,1.2349778,-0.2140511,-1.3246,0.37366502,0.37104051,0.59270175,-1.59347,1.4178009,0.51605077,1.3407865,-0.645304,0.07175267,1.0371672,-1.0536453,-1.7252524,-1.4604046,1.608666,0.68103082,-0.7540113,-0.0991485,1.0629917,0.80251215,1.0389157,-0.359539,-0.9612151,0.30953772,0.37140967,0.66798983,-1.0565359,-0.7488712,0.05747547,-0.9185126,0.75176083,-0.2017498,-0.7913296,0.35396151,-0.801882,0.70289417,-1.0342476,0.04831543,0.1147232,-1.8836549,1.4188394,1.3654062,1.1487594,1.3338675,-0.560195,-0.9913618,-0.073581,-1.1911385,0.18257283,-0.040111,-0.5309839,0.48289172,0.85862289,0.6142431,1.0114211,0.16546446,-0.5333295,-0.0851049,-1.7393599,0.81153001,0.36128104,-1.0874969,-1.3757733,-0.2215076,-0.2680181,-0.391943,-1.9725959,-1.6060742,-1.4928618,Colon
0.97163426,1.7725687,-0.3038035,0.06324928,1.3512408,-0.6854448,-1.4561279,1.8565669,1.4021401,1.1541224,1.1350636,-1.1157994,1.1721486,-1.0755225,-0.7975476,-1.0033856,-0.6445374,-0.1663915,-0.2504067,1.5049452,-1.0501126,0.49612575,2.0573306,-1.6429244,1.8020826,-0.9376677,1.0293036,0.30379312,1.3863264,0.0229431,-1.8111932,-0.5467446,-1.8609437,-0.5045674,0.00997323,-1.1128162,-0.0143148,-0.9483581,0.62807253,-1.3375743,0.82255572,0.45155449,0.3737809,0.40355057,2.2726504,0.88302902,0.72887649,1.060745,0.80311644,2.0036766,-0.2886465,0.13512003,-0.3812494,-1.486354,1.8145614,-1.8719945,-0.2723406,-0.1837379,0.61408059,-1.5151091,0.28182892,-0.7852878,-0.8205022,0.43659013,-1.1241012,-0.6452813,0.62067428,-0.307327,0.4812795,0.95957232,0.21515537,2.1525924,-2.0913666,-0.8709003,0.08528176,-0.3369616,0.14348368,-0.9289311,1.7871384,0.70063112,1.1190794,-0.7082457,1.1617445,-0.9996576,0.37145822,-0.0945136,0.60281848,-0.314607,1.01771,2.2937093,-1.6322703,-1.1987177,Colon
1.4872086,1.2243266,-1.1354878,0.3589945,0.07602731,0.41612367,-0.6246404,1.2610885,0.92686418,0.56395282,-0.5236666,1.2072067,1.2710221,-0.7640315,-0.9470494,-0.8737196,0.06432704,0.76534566,-0.3398986,0.36182157,-0.9104103,-0.1359338,0.66176168,-1.9149353,-0.208199,-0.4082704,0.52531184,1.6190464,0.73501293,0.06328987,-0.0796625,-0.6822195,1.1219318,0.59210021,-0.2173682,-1.3681004,-0.6292674,-0.3404699,-0.8339575,-0.7361381,-0.1829413,-0.321688,0.25310685,0.11859884,0.58085717,0.50942781,0.9899721,-0.1919551,0.34247405,0.12881849,-1.3987887,0.86080273,-1.1183628,0.90516371,1.2839505,-0.6418511,-0.8594009,-1.161795,0.27869596,-0.8518755,0.09853557,-0.063276,-1.2759656,0.7355331,0.8667672,-0.713042,0.6067301,-0.8522808,0.49259259,0.88512068,0.00321641,-0.7006863,-0.2538199,-1.3025319,0.10592111,0.64265522,-0.1412203,-0.2488779,0.68461433,0.27248263,0.66385998,-0.5441708,0.72032294,-0.2261561,-0.5004062,-0.7843735,-0.2892371,0.0693396,-0.0607601,-0.7458409,-1.4092437,-2.2108107,Colon
-0.2079626,-0.0797636,-1.9713294,1.0131281,0.97868783,1.1235096,-0.3828448,0.39455185,-0.2268039,-0.1951843,1.6863787,0.43487684,0.09373256,-1.303713,-1.7444612,-1.3601213,0.77071359,-1.9632215,1.4939562,0.32322591,-0.658811,0.43631022,0.07620142,-0.669599,1.4704693,-1.2448463,0.24610197,0.54056468,1.4172882,0.92225083,0.762844,-0.8861028,0.80194157,1.1583938,-1.4359925,0.29950965,-1.5672383,-0.1672435,1.0290312,-1.025265,-0.2258152,1.7703868,1.781385,1.540256,0.14128833,-0.6326871,-0.1773172,0.6147925,1.6445119,0.42198665,-0.9559618,1.0900273,-0.7303396,0.76305376,-0.6907168,0.59799613,1.4600656,-0.9478114,0.3970062,-0.7163045,0.46771013,2.0923593,-1.125043,0.55858991,0.62975639,1.2777622,1.1107879,-1.1043724,0.45421426,-0.056453,0.63081944,0.27532468,0.16468591,-1.0431549,1.2311724,0.98002612,1.4172207,0.96230077,1.5141583,0.65826214,0.05767269,-0.659859,-0.460557,0.91170761,-0.4357576,-1.1996611,1.4982635,-0.2803721,-0.9883935,-0.6625758,-1.2354912,-0.5404738,Colon
-0.0118567,-0.1517183,-0.4642668,1.3965321,1.5104316,1.1186824,0.17596281,-0.4401901,-0.5031164,-0.7837075,1.5346452,1.3534573,-0.4636369,-0.2035593,-0.4810289,-0.2659717,0.58280361,-0.0897878,0.62963564,-0.2407236,-0.6990889,0.73993825,-0.6597606,0.30040431,1.3470331,-0.8164894,-0.8429417,-0.8266383,0.19333502,1.4080155,0.67904214,-0.0674042,-0.1783204,0.95118676,-0.7011405,-0.0370356,-0.7084014,-0.0799463,0.32109659,0.00959734,-0.0894109,0.37275386,0.49853166,0.22466538,-0.84265,-0.4443853,-1.3427262,0.035888,0.41657283,0.06885927,0.04857171,-0.5045062,-0.2249899,1.6194664,-0.0607194,0.40667725,1.0535262,0.34190018,0.10527422,-0.3077499,0.87042488,0.12112236,0.40711581,0.11402118,0.4547841,0.51707128,1.0760362,-0.0793704,-0.6107407,-1.1874739,-0.2274735,0.4751419,-0.1544706,-0.3796979,0.78509877,1.1186021,1.0369486,0.1839237,1.1986529,0.27512382,-0.1676741,1.4728423,-0.426718,0.60810515,0.11162495,-0.7514351,1.15551,-0.9961506,-0.1888248,-0.5798414,0.2059655,-0.2538442,Colon
1.1828364,0.8797494,-1.1365822,0.70874245,0.94888193,0.8788546,-0.3306841,0.72324232,0.78909843,0.22432315,1.0930191,1.2811845,1.2261184,-1.2677018,-1.1899854,-1.217244,1.0382394,-0.6416838,0.81015532,0.42532435,-0.9395982,0.29584898,-0.3234626,-0.5059622,0.95898899,-0.8775683,0.92638517,0.84816815,0.63934683,1.0506257,0.44252901,-0.8063272,0.60827594,0.08809648,-0.9684643,-0.7218294,-1.4394578,0.67632012,0.06399672,-1.6427671,0.08000118,1.6323558,1.6638652,1.1864951,0.14342992,-0.8538808,0.13771123,-0.0477616,2.1076891,0.77500949,-1.1085129,0.37706494,-0.434087,0.50350513,-0.1884379,-0.6357598,0.68843329,-0.7714593,1.5831605,-0.6240376,-0.6524771,1.7985086,-1.0564492,0.3708547,0.86268041,0.53972699,1.6565385,-1.619476,0.53172026,0.95083817,-0.5837279,0.40729686,-0.1276822,-0.1693391,-0.6696874,-0.1811611,0.46950294,0.71047104,1.3486091,0.86574474,0.92449429,-0.7147334,0.434434,0.641421,-0.5532534,-1.454176,1.1318172,0.00639273,0.76698346,-0.2059891,-0.6584644,-1.0610563,Colon
-0.4838004,-0.7922379,-1.3413541,1.0805381,1.5649625,0.78117582,-0.0078837,-1.4397337,-0.2035621,-1.6692089,1.5330661,0.63500621,-0.0916419,-0.9488825,-1.122386,-1.0716081,1.0059743,-1.1100532,0.37952867,-1.1482924,-0.7776145,0.65869382,-0.7523477,-0.2049245,1.0396919,-1.0378859,-0.8788493,-0.7862751,0.47812702,1.0092573,0.21768012,-0.7733316,-0.6920791,0.94175044,-1.5692003,-0.8158373,-2.5006214,0.26636583,0.06224393,-0.7196854,-1.3235414,0.72597992,1.0519865,0.70360821,-0.3084773,-1.543951,-0.0123597,-1.0990402,0.74507347,-1.0051458,-0.4606111,-0.3588342,-0.2040793,0.23336436,-0.3662049,0.3197212,0.78114592,0.17417858,0.74418618,-0.0862876,-0.0988336,1.3684405,-0.0645299,-0.008071,1.0262246,0.28169706,1.1100468,-0.4412302,-0.2419525,-0.6498259,-1.0827925,-0.8147885,-0.6117244,-1.0920878,-0.1105447,0.80939815,0.56975752,1.0769345,1.2179081,0.78073014,-0.0514259,0.3868341,-0.1686702,0.5779024,-0.0666174,-0.7698608,1.9933601,0.21399591,-0.9547272,-0.30796,0.07969828,-0.213328,Colon
0.42728504,0.42790857,-1.0313691,1.2751107,1.2501559,1.2363268,-0.4936285,-0.2234725,0.04894392,-0.2770285,1.2926171,1.2485311,0.3035278,-0.5495555,-1.1307634,-0.630423,1.0059319,-0.3314075,1.3132193,0.07975102,-0.4031225,1.3706175,-0.0981758,-0.8109967,1.1091947,-1.1832788,0.06279349,0.50486275,-0.4006297,1.7755729,0.83020156,-0.3645912,0.29471852,0.82348399,-2.3193618,-1.3772089,-1.8234491,0.91203057,0.77050033,-0.4004983,-0.5795528,1.1501906,0.51134533,-0.1132736,0.17182743,-1.5644471,-0.7522547,0.38672371,0.12786737,-0.2451123,-0.6445744,0.08404053,-0.3949648,1.5564223,0.55667071,-2.2715558,1.278861,-0.3272099,0.50595215,-0.6111585,0.78137983,0.24333299,-0.3635057,1.5202001,0.96358104,0.86835432,0.66314204,-1.2576309,-1.0987204,-0.4461463,-1.7332403,0.14601144,-1.173197,-1.1941493,2.0134837,1.1061326,0.90158408,1.2137109,0.9192071,-0.3049291,-0.554274,-0.2897391,0.59581155,0.6352704,-0.2519554,-1.0112995,0.82291944,-0.7670453,-0.3562268,-1.4482351,-0.8081639,-0.1692128,Colon
0.17116456,-0.6223661,-0.416177,0.43668977,0.57013988,-0.2865885,0.77848598,-0.5781273,0.25866841,-0.3459788,-0.2961892,-0.0979023,0.13835121,-0.2708542,-0.9804515,-0.269441,-0.0133057,-1.1771791,-0.4437792,1.2795521,-1.0383888,0.53699461,0.14947235,1.3713069,-0.0877669,-1.0518439,-1.0872117,-0.2310438,1.6119795,0.21548412,-0.6833528,0.01891298,1.1817438,-0.4340903,-0.4749068,0.14768599,-0.405732,-0.7562176,-0.5940875,0.00753039,2.094455,-0.6663578,0.5235507,-0.9505169,-0.0946725,-0.7444422,-1.3699121,-0.9476068,0.28320281,-0.9345766,-0.7132008,-0.3533563,1.3769671,0.44069255,0.77726504,-1.5730844,-0.3483178,-0.7799999,-0.519636,0.41498082,-0.679864,-1.0171868,0.25421333,-0.7405318,1.0702663,-1.1275769,-0.0543653,-0.9036123,-0.4008425,0.17421044,-1.2454571,0.11868954,-2.0828384,-1.1135498,-0.8795465,0.17105293,-0.710406,-0.8429967,0.78802177,0.77058288,-0.8600609,0.2684734,0.45462124,0.28876301,-0.3545131,0.17854365,0.10340038,0.09040258,-1.1185903,-0.9703747,0.45436061,0.3859789,Colon
0.11546132,-0.1526911,-0.4070583,0.6195811,-0.1515957,0.46201777,-1.0303157,-0.19234,0.34602964,0.53994672,1.3354744,0.25628312,-0.0098245,0.4995786,0.32655828,0.26123139,0.19098257,0.22034232,1.5637879,0.82256973,-0.6824359,1.0896026,-0.2773628,-0.0181165,0.84862519,-0.5446881,0.14278481,0.47883008,-0.0458453,0.67931875,0.86097665,0.15471474,0.38206819,1.588093,0.42845975,-0.6960808,0.41788104,0.36990806,1.3511465,0.60687482,-1.1931884,0.152462,-0.4778042,-0.8481581,1.0317901,0.1724389,-0.1155026,0.84083579,-0.7829513,0.5556774,0.95576299,0.91679133,-1.200552,0.95583379,-0.1513377,-0.0800489,0.99265845,-0.1621439,0.45376809,-0.4670414,0.58411994,-0.0821119,1.0211315,0.30192394,2.0022437,0.30957125,-0.4053695,1.1968234,0.90353288,-0.0930641,0.33785247,0.34681961,-2.7478226,-0.7622697,0.13809792,0.98549921,0.57775085,1.0769234,0.22459418,1.7134609,0.80151594,0.67613981,0.32195524,-1.1372259,0.21644784,1.0345424,0.41526003,-1.1251887,0.392505,0.29106754,0.55478679,0.98574959,Colon
1.3625725,1.2587083,-0.5738672,1.1101579,1.6310377,1.3065092,-1.7356896,1.490993,1.2151058,1.2660026,0.07895489,1.6421506,1.0475095,0.0069418,-0.688104,-0.0155125,0.69924095,0.43815871,1.0746113,1.3742977,-0.6038347,0.5507649,0.3546323,-1.052527,0.88891045,-0.7220357,0.90098657,1.5049081,-0.5124693,1.4491683,0.63749427,0.0385499,1.2893915,1.4656039,-0.4908989,-1.8862139,-0.2545241,0.36062991,0.49465175,0.66900489,-2.1091885,0.77326919,-0.2358893,-0.1594086,0.21320683,0.20735005,1.6497013,0.11991914,-0.4209205,0.95574714,-0.4362141,0.57621295,-1.6462026,1.3648208,0.93125231,-0.2409859,0.73879416,-0.4281617,0.28244591,-1.2114773,-0.1060561,-0.3508949,-0.8314477,0.10983909,1.1226279,1.0206397,-0.2959689,-0.1026001,0.88503839,0.77704412,0.79402528,0.09142096,-0.3990043,-0.6327481,1.4236885,2.1239603,0.33223849,1.5694543,0.60844964,0.53723066,0.9569453,0.09994628,0.71841842,-0.1355869,-0.0804889,-0.5054875,1.4972399,-1.7282563,1.4386708,-0.2607074,-1.0303696,-1.0681733,Colon
0.56340746,0.02296969,-0.8818219,0.67898263,0.92731139,-0.5964878,0.20085891,0.34635158,1.1691608,0.65842745,0.891634,0.36638328,1.1591371,-0.5803952,-0.2204042,-0.135831,-0.0041962,-0.2109405,-0.6934969,0.42937404,-0.9553383,0.12336782,0.3047578,0.36243754,0.24786623,-0.9068867,1.1675023,0.23397309,0.18620206,0.95611653,0.28795403,-1.0397361,0.39821524,0.16803909,-0.3810447,-0.0142138,-0.4228695,0.79394502,-0.3361239,-1.4863014,-0.5112044,0.69010146,0.72687812,0.85543007,-0.1387143,-0.4192766,0.95312608,-0.8014159,0.81476039,0.29687162,-0.1774264,0.55590816,-0.4773884,-0.1185741,-0.0523108,-0.3627312,0.32669063,-0.7617819,0.59683416,-0.6483987,0.49794979,1.0944968,-0.4628311,0.18099493,0.33289705,0.08370815,0.76467587,-0.8667963,1.396749,0.7594597,0.71332181,0.53990252,-0.5025257,-0.554444,-0.0296603,-0.3105973,0.64139361,0.5149587,0.59342744,0.70121945,-0.0136764,-0.4654042,0.91680581,0.32289029,-0.162618,-0.4873907,0.80952997,-0.5818783,0.13754089,-0.4270449,-0.330651,-0.2951697,Colon
